Lat,Lon,isChain,RestaurantName,Cuisine
45.53451,-122.69625,1,Good Coffee,Restaurant
45.520847,-122.68763,1,Gracies,American
45.531113,-122.63269,1,Gravy,Diner
45.55172,-122.67564,1,Gravy,American Cafe
45.55446,-122.68145,1,Happy House Chinese Restaurant,Chinese
45.590683,-122.594345,1,Hissho Sushi,Japanese Asian Fast Food
45.46525,-122.64724,1,Jakes Place,American
45.46663,-122.70801,1,Jimmys,Restaurant
45.58996,-122.75504,1,Johns Restaurant,Restaurant
45.51745,-122.65802,1,La Villa Restaurant,Restaurant
45.47894,-122.62014,1,Laughing Planet Cafe,Cafe
45.52838,-122.64394,1,Laughing Planet Cafe,Restaurant
45.47668,-122.72191,1,Laughing Planet Cafe,American
45.52622,-122.60349,1,Los Taquitos,Mexican
45.522846,-122.64372,1,Luce,Italian
45.53457,-122.6593,1,Mashita Teriyaki,Japanese
45.588795,-122.59626,1,Mos Seafood,American Fast Food Seafood Soups
45.500393,-122.672005,1,MyFitFoods,Restaurant
45.48679,-122.73023,1,Ottos,Restaurant
45.51707,-122.673645,1,Paddys,Irish Bar Pub American Grill
45.53202,-122.68158,1,Pizzicato,Restaurant
45.54846,-122.6199,1,Pizzicato,Restaurant
45.50527,-122.60079,1,Pizzicato,Restaurant
45.521385,-122.67249,1,Pollo Bravo,Spanish
45.46451,-122.65331,1,Portofino,Italian
45.52543,-122.67621,1,Simply Delicious,French
45.51684,-122.65721,1,Sparkys Pizza,Restaurant
45.563618,-122.710754,1,Sparkys Pizza,Pizza
45.57781,-122.661,1,Sparkys Pizza,Pizza
45.548,-122.66825,1,Stix,Restaurant
45.50551,-122.61546,1,Stumptown Coffee Roasters,Cafe
45.52221,-122.68166,1,Stumptown Coffee Roasters,Cafe
45.521797,-122.67349,1,Stumptown Coffee Roasters,Cafe
45.51625,-122.62975,1,Stumptown Coffee Roasters,Cafe
45.523468,-122.677246,1,Sushi Ichiban,Japanese Sushi Asian
45.50488,-122.5763,1,Thai Fresh,Asian Thai
45.46053,-122.64735,1,Thai Square,Asian Thai
45.49588,-122.57804,1,The Farm House,Restaurant
45.53329,-122.69852,1,The Matador,Mexican Southwestern Bar
45.522636,-122.64085,1,The Matador,Mexican Southwestern
45.46763,-122.71382,1,Yalla,Mediterranean Barbecue Healthy
45.52599,-122.68541,0,10 Barrel Brewing Co,American Bar Pub
45.56867,-122.63035,0,Aladdins Cafe,Lebanese Middle Eastern Mediterranean
45.54818,-122.6203,0,Bagel Land,Restaurant
45.55903,-122.63439,0,Caffe Vita,American Cafe
45.51914,-122.63676,0,Canteen,Restaurant
45.53527,-122.65079,0,Capitol,Bar Pub
45.52085,-122.67619,0,Caribbean Kitchen,Caribbean
45.51231,-122.62863,0,Cha Cha Cha,Mexican
45.50053,-122.67192,0,Cha Cha Cha,Restaurant
45.5819,-122.7221,0,Cha Cha Cha,Mexican
45.52004,-122.49602,0,Chinese Garden,Chinese
45.53509,-122.62076,0,Chins Kitchen,Chinese Asian
45.52795,-122.69418,0,Coffee Time,Cafe
45.51227,-122.61782,0,Common Grounds Coffeehouse,Cafe
45.51707,-122.65147,0,Crush,Bar Pub American
45.52261,-122.60339,0,Donut Queen,Restaurant
45.53557,-122.53743,0,Dottys,Restaurant
45.52612,-122.47902,0,Dottys,Restaurant
45.51812,-122.55977,0,Dottys,Restaurant
45.57021,-122.54619,0,Dutch Brothers,Cafe
45.536842,-122.4777,0,Elmers Restaurant,American
45.559586,-122.55924,0,Elmers Restaurant,Diner American
45.49611,-122.67082,0,Frank,Cafe Wine Bar
45.559055,-122.65052,0,Fuel Cafe,American Cafe
45.51121,-122.6778,0,Garden Bar,American Healthy
45.51929,-122.6746,0,Garden Bar,Healthy
45.53047,-122.65719,0,Garden Bar,Healthy
45.52324,-122.68235,0,Garden Bar,Healthy
45.47822,-122.69457,0,Gigis,American Cafe
45.5593,-122.65628,0,Gojo Ethiopian Restaurant,African Ethiopian
45.52774,-122.57942,0,Golden Star Restaurant,Restaurant
45.47894,-122.61707,0,Grand Central,International
45.54811,-122.61704,0,Grand Central Bakery,Restaurant
45.46525,-122.64724,0,La Sirenita,Restaurant
45.548218,-122.6414,0,Lucca,Italian Pizza
45.59105,-122.75525,0,Maries,Restaurant
45.516376,-122.65436,0,Market of Choice,Restaurant
45.5199,-122.67428,0,Mediterranean Cuisine,Restaurant
45.52962,-122.69857,0,Nob Hill,American Bar Pub
45.51434,-122.68313,0,Noodle World,Restaurant
45.51667,-122.62321,0,Oriental Express Restaurant,Restaurant
45.521946,-122.6781,0,Palm Court,American
45.6121,-122.68471,0,Picasso Pizza,Restaurant
45.57482,-122.72566,0,Pilot House,American Brew Pub Bar Pub
45.504635,-122.65462,0,Pine State Biscuits,American
45.55901,-122.642715,0,Pine State Biscuits,American
45.53584,-122.66419,0,Pine State Biscuits,American
45.5349,-122.69901,0,Pine State Biscuits,Restaurant
45.57582,-122.56067,0,Pizanos Pizza,Pizza
45.51009,-122.7358,0,Pizzicato Gourmet Pizza,Pizza
45.52304,-122.63695,0,Pizzicato Gourmet Pizza,Pizza
45.47349,-122.64938,0,Pizzicato Gourmet Pizza,Pizza
45.53737,-122.77974,0,Pizzicato Gourmet Pizza,Restaurant
45.47893,-122.61595,0,Putters,Restaurant
45.51769,-122.67423,0,Rivers Edge Cafe,Restaurant
45.53329,-122.54424,0,Rounders,Restaurant
45.533802,-122.477394,0,Rounders,Restaurant
45.5142,-122.68437,0,Sesame Donuts,Cafe
45.51649,-122.68002,0,Shawarma Express,Mediterranean Middle Eastern Arabic
45.46351,-122.57945,0,Shawarma Express,Restaurant
45.521,-122.68098,0,Shawarma Express,Restaurant
45.51623,-122.63028,0,Straight From New York Pizza,Pizza
45.52354,-122.69713,0,Straight From New York Pizza,Pizza
45.51226,-122.62558,0,Straight From New York Pizza,Restaurant
45.54264,-122.72096,0,Sub King,Restaurant
45.51261,-122.67584,0,The Lobby,Bar Pub
45.521633,-122.677124,0,The Original,Diner American
45.51461,-122.68044,0,The Whole Bowl,Restaurant
45.53358,-122.69904,0,The Whole Bowl,Restaurant
45.51699,-122.67544,0,The Whole Bowl,Healthy
45.54873,-122.66768,0,The Whole Bowl,Restaurant
45.58564,-122.59159,0,Tullys Coffee,Restaurant
45.512123,-122.66551,0,Umai,Japanese Fusion
45.47892,-122.61291,0,Yolk,French American Middle Eastern
45.52031,-122.67392,0,Al Amir,Lebanese Mediterranean Middle Eastern
45.51944,-122.67569,0,Aroy Thai Cuisine,Asian Thai
45.526936,-122.68433,0,Barista,Cafe
45.52878,-122.69889,0,Barista,American Cafe
45.5593,-122.64718,0,Barista,Cafe
45.51916,-122.67505,0,Barista,Cafe
45.50952,-122.68443,0,Blue Fin Sushi,Japanese Sushi Asian Seafood
45.53476,-122.43637,0,Bumpers,American Bar
45.53518,-122.64748,0,Cadillac Cafe,American Cafe
45.53258,-122.6535,0,Chicken Connection,American
45.59032,-122.75444,0,Chop,Restaurant
45.53401,-122.66195,0,Coffee People,Restaurant
45.55168,-122.67522,0,Crow Bar,Restaurant
45.476063,-122.6962,0,Dublin Pub,Pub
45.58066,-122.7187,0,East Side Deli,Restaurant
45.51179,-122.61444,0,East Side Deli,Deli
45.50917,-122.65634,0,East Side Deli,Restaurant
45.47894,-122.61678,0,El Gallo Taqueria,Mexican
45.52744,-122.6983,0,Escape From New York Pizza,Pizza Fast Food
45.50362,-122.54052,0,Ez Freezy,American
45.57263,-122.55734,0,Ez Freezy,American
45.58762,-122.74223,0,Flourish,Restaurant
45.5186,-122.67722,0,Fuego,Diner
45.522564,-122.67308,0,Fuse,Restaurant
45.53358,-122.69843,0,Grassa,Italian
45.52193,-122.68362,0,Grassa,Italian
45.512337,-122.652214,0,Grassa,Restaurant
45.52878,-122.68321,0,Greenleaf Juicing Company,Restaurant
45.51986,-122.66037,0,Greenleaf Juicing Company,Healthy
45.50025,-122.67172,0,Greenleaf Juicing Company,Healthy
45.45042,-122.7271,0,Happy Fortune Restaurant,Chinese
45.505848,-122.420586,0,Heidis,American
45.50952,-122.67871,0,Hot Pot City,Chinese Asian Taiwanese
45.571316,-122.554085,0,IKEA Cafe,Swedish Scandinavian American
45.51461,-122.68044,0,Katies Cafe,Restaurant
45.53468,-122.434,0,La Mixteca,Restaurant
45.50437,-122.47398,0,Lees Garden Chinese Restaurant,Chinese Asian
45.48521,-122.64703,0,Macd,Restaurant
45.51988,-122.67504,0,Metropolis Cafe,American
45.59774,-122.66941,0,Moes Deli,American
45.5369,-122.62035,0,Nectar Cafe,Restaurant
45.49743,-122.50993,0,New China Garden,Chinese
45.51182,-122.68428,0,Noahs,Restaurant
45.55892,-122.64512,0,Ole Ole,Restaurant
45.5231,-122.64377,0,Ole Ole,Latin Spanish
45.49698,-122.62294,0,Original Joes,Restaurant
45.51202,-122.64645,0,Otto,American
45.53207,-122.628654,0,Petite Provence,French Cafe
45.505245,-122.612335,0,Petite Provence,French Cafe
45.558968,-122.64617,0,Petite Provence,French Bar Pub
45.559326,-122.55684,0,Pho Dalat,Asian Vietnamese Soups
45.518223,-122.67634,0,Punch Bowl Social,American
45.49806,-122.42614,0,Red Lion,American
45.52032,-122.6783,0,Rocket Fizz,American
